person_code,person_age_group,person_gender,person_education,person_negotiation_experience,learning_about_styles,identification_training,realism,theory_of_mind
pc9deec4d610ff2,45-54,Female,Master or equivalent,No experience,Agree,Agree,Somewhat agree,Agree
pc22f10b5049c9,55-64,Male,Master or equivalent,Highly experienced,Agree,Agree,Somewhat agree,Neutral
pcd671c1407f07d8,55-64,Female,Master or equivalent,No experience,Agree,Strongly agree,Somewhat disagree,Neutral
pc40a8247effa3f,18-24,Female,Upper secondary education (e.g. Abitur),Some experience,Strongly agree,Strongly agree,Disagree,Somewhat disagree
pc4483e664b8de1,18-24,Male,Bachelor or equivalent,Some experience,Strongly agree,Strongly agree,Agree,Somewhat agree
pc10892200eb494,18-24,Male,Upper secondary education (e.g. Abitur),Some experience,Agree,Agree,Somewhat agree,Agree
pcdcb0c4aa03e5c,18-24,Male,Upper secondary education (e.g. Abitur),No experience,Somewhat agree,Neutral,Somewhat agree,Agree
pcd378a2f5f375f,18-24,Male,Upper secondary education (e.g. Abitur),No experience,Agree,Somewhat agree,Neutral,Strongly agree
pcaaa3ead23b14,18-24,Female,Upper secondary education (e.g. Abitur),No experience,Agree,Strongly agree,Somewhat agree,Agree
pc228a64de41c13,18-24,Female,Upper secondary education (e.g. Abitur),No experience,Agree,Somewhat agree,Agree,Somewhat agree
pce4149215b3e46,18-24,Female,Bachelor or equivalent,Some experience,Somewhat disagree,Somewhat agree,Disagree,Neutral
pc197def8abcd61,25-34,Male,Upper secondary education (e.g. Abitur),No experience,Disagree,Somewhat agree,Disagree,Somewhat agree
pc1cdbfff306912,18-24,Female,Upper secondary education (e.g. Abitur),Some experience,Agree,Somewhat agree,Agree,Neutral
pce5ae995297528,18-24,Female,Upper secondary education (e.g. Abitur),No experience,Somewhat agree,Agree,Neutral,Somewhat agree
pc1ae9c9b13f088,25-34,Male,Bachelor or equivalent,Some experience,Neutral,Somewhat disagree,Disagree,Somewhat disagree
pcc2d39f12cf0af8,18-24,Male,Upper secondary education (e.g. Abitur),Some experience,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree
pc3d48b1d0b695b8,18-24,Female,Upper secondary education (e.g. Abitur),Some experience,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree
pcdb2ec88fff18f,18-24,Male,Upper secondary education (e.g. Abitur),No experience,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree
pc608c8823d38ce,18-24,Male,Upper secondary education (e.g. Abitur),Experienced,Strongly agree,Somewhat agree,Strongly agree,Agree
pcd34578cca82aa8,18-24,Male,Upper secondary education (e.g. Abitur),Some experience,Neutral,Neutral,Somewhat agree,Somewhat agree
pc9cbe91978f547,18-24,Male,Upper secondary education (e.g. Abitur),No experience,Agree,Somewhat agree,Somewhat disagree,Agree
