connection_code,person_code,person_age_group,person_gender,person_education,person_negotiation_experience,outcome,ending_party,length,model_name,judgement
VZXkk-yEUYd_kLLWqFAh6cQYwPW_8blOsmqDLerQgII,pc9deec4d610ff2,45-54,Female,Master or equivalent,No experience,accept,self,5,accommodating,accommodating
FSWLSv49-GxSt4Lp3DBfoCVZ9kfrX_zMNSTnDT6tHhw,pc9deec4d610ff2,45-54,Female,Master or equivalent,No experience,accept,model,2,compromising,avoiding
92YHXXE7Q9e2AbkK5h6nO9H_LHRoYNV0uzs37Oy7IBI,pc9deec4d610ff2,45-54,Female,Master or equivalent,No experience,accept,model,2,avoiding,avoiding
nOvYXbStXVmp4zcC8zzmJufHhliOUAF6myxg1FcXboA,pc9deec4d610ff2,45-54,Female,Master or equivalent,No experience,accept,model,2,compromising,avoiding
9PK-bA7PUtYHuoVc0hm9XBvflK_UO9BE0yq7ByzEFrU,pc22f10b5049c9,55-64,Male,Master or equivalent,Highly experienced,reject,self,7,competing,competing
T8MKd1xwKeWYgFgU47AYcziREO5uMoas_TcVoPTPp-Y,pc22f10b5049c9,55-64,Male,Master or equivalent,Highly experienced,accept,model,2,avoiding,avoiding
gil6N7nKDDbjMEA2KmyLIKGBEgBfh5dnTe4C0mBXz8U,pc22f10b5049c9,55-64,Male,Master or equivalent,Highly experienced,accept,model,2,collaborating,avoiding
fzxcBftPS5w2N-K4hKqQ2Ep0kQQwb5hjlnGYQACJZaY,pc22f10b5049c9,55-64,Male,Master or equivalent,Highly experienced,accept,model,2,collaborating,accommodating
4U_aY_prwWJBk2s8FdUHw2wNfo_kPxHw85T2_Cdmzro,pcd671c1407f07d8,55-64,Female,Master or equivalent,No experience,accept,model,2,compromising,accommodating
gJq1AepHW1oIFhgdBELDWHuo-XcPHwt8QFdMJjKEk9w,pc40a8247effa3f,18-24,Female,Upper secondary education (e.g. Abitur),Some experience,accept,self,9,competing,compromising
PIiQN7AKvJqzecGoplk-OSdgcCvMVPLodDXsSRlQVsM,pc35af290495b87,18-24,Female,Upper secondary education (e.g. Abitur),No experience,accept,model,2,collaborating,accommodating
y8QM-AQtTqX5QBd_VmLlAJH-VR_DUjm1pMfX85fEpMY,pcc2da12e949996,18-24,Female,Upper secondary education (e.g. Abitur),No experience,reject,self,3,accommodating,competing
I_TIirV1Cwprot5_5Xfn4BqlnRh8QRJ2Wa4f_DXESxQ,pc4483e664b8de1,18-24,Male,Bachelor or equivalent,Some experience,accept,model,4,accommodating,accommodating
jB7nYkWjNEEzIp2sxtccG7NMt0yXTPJ7JlZ_NgBC5jY,pc10892200eb494,18-24,Male,Upper secondary education (e.g. Abitur),Some experience,accept,model,2,avoiding,accommodating
wNCNCBIop8dZ0JTes3hqHtk_nAvg1WuhpjVqb9IAmOY,pc9780b0c8dd9a9,18-24,Male,Upper secondary education (e.g. Abitur),Some experience,accept,model,2,avoiding,avoiding
SlUHMhBj52npiD_hhy6xSKHMtF1-yY2_LKQgEfvYaCI,pcdcb0c4aa03e5c,18-24,Male,Upper secondary education (e.g. Abitur),No experience,accept,model,4,competing,collaborating
kKbvcENih_FMsuZBolAS7xemmhxh93HkQ0QVZg_Q6IU,pcd378a2f5f375f,18-24,Male,Upper secondary education (e.g. Abitur),No experience,reject,self,5,competing,competing
SkJFB-DqA0edybkqb3PZkiMvDeA5avwGxr0JI-wAcGw,pcd378a2f5f375f,18-24,Male,Upper secondary education (e.g. Abitur),No experience,accept,model,4,compromising,collaborating
